Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Afghanistan,AFG,19.6773097398593,19.7702828644115,19.8176498776766,19.8675998686106,20.0048125023746,19.8014033487854,19.5998733776512,19.4438819419835,19.3381069250816,19.2540692306719,19.4336803181116,19.6750833851188,19.9321835869041,20.176475823575,20.4069945021381,20.1549697185607,19.9023633659213,19.703669818034,19.6124799755893,19.6597738616685,20.1551675656331,20.7789873677724,22.2178958025076,23.7490645063876,25.3757325289357,27.1029295008949,28.93696493811,27.8325779792055,26.5817299358641,24.6862301129122,21.8409819358079,7.34537368323521,6.98535794895538
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Albania,ALB,70.8192263602676,71.0571900826446,70.7225553166771,70.448822396682,70.0739285811714,69.8394353407355,70.1172406289103,69.8835343018231,69.5968458462905,69.4545759443257,69.3030396934952,69.2320749112409,69.8762433495258,70.5922376050171,71.390054378285,72.2705254005714,73.2401994360992,74.3047375997906,71.2983842122452,73.2534992711484,77.716554094087,74.8168694639409,71.2606907357838,69.4344525963839,73.3286516853933,76.6610694313928,74.5193174307517,76.1195137517997,77.8305014810121,77.4244906791974,78.7746037540689,78.0343581803436,78.0831029844348
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Algeria,DZA,14.4405281708664,14.5693886657742,14.6424384525205,14.7639273782083,15.0009715655159,15.2599761299362,15.5805881197197,15.9106833595537,16.2518340669601,16.6029558241581,16.9648314927259,17.338726263111,17.7244099937712,18.1215932914046,18.5329983627844,18.9571365444101,19.3955711694071,19.8490269657038,20.3168398312931,20.5628528800866,21.8959496692254,23.3039837265587,23.8856181665265,22.5044102439321,24.3894717800289,25.479655344731,25.2633331315455,25.0453720508167,24.8565041387227,24.6660915132924,25.4346927747227,24.5996387718242,25.09815044261
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Angola,AGO,94.9774159862106,94.9171937678407,94.913868980259,94.9672955974843,95.077426664988,95.0567709775685,95.1038911975822,95.2092864975234,95.3598425097485,95.5412885777115,95.5608362615972,95.6303987656351,95.7305418781565,95.8382425601459,95.9313824931535,95.8528148401566,95.7988727756317,95.7596323073222,95.7363310673098,95.7363310673098,93.6987672861523,93.7957901350927,93.8970987241453,94.0015715299605,94.1104591219785,94.2238359456903,94.3392834210864,94.4606413994169,94.5854878633542,94.5763633538764,95.5985307104553,93.3860670239225,93.5988473808789
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Argentina,ARG,62.491935483871,63.8029414128426,65.2061890077029,66.1719051870012,65.3823030367807,66.3003907239728,67.7359744748737,68.353522473701,67.4916744371919,67.1910232291291,66.1465727372566,63.663242024544,65.2887448042077,66.9633641201625,65.7973034551157,66.7377856500678,66.0859811063209,65.4327878672366,66.47228731811,65.0459616486184,64.8117109567192,65.5911336772855,65.3940109241622,65.8525748719159,66.4531378938976,67.0677751162463,67.6959114139693,69.7365994808584,70.4387990762125,70.5181276440886,70.9480338069505,70.9430241566307,71.4898403993532
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Armenia,ARM,80.5870101926817,80.5580183974288,80.4448473016316,80.3094924100003,80.2163397125813,80.2196245129295,80.2566802310691,80.2823737669346,80.3372396206412,80.3994359549915,80.4139666743809,80.40257320836,80.3810723334456,80.3559598993066,80.3299042213551,80.3019527661718,80.3105737316264,80.4114994363021,80.2890587324088,80.2662011782675,80.2804837328146,80.3385548990288,80.3207208251246,80.2960435970453,80.2454182347767,80.0767439855135,80.1586731247395,80.1877974778195,82.5750519452604,84.9004400359093,84.5856241091427,81.9066260693055,81.9926793557833
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
