Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1989:Q3,TopPt1,1795946,335070,139465,195605,1460876,133504,36546,275585,185132,90453,74328,68379,5948,296052,13670,1469,19975,15008,590057,4682,42806,42340,14079,21058,361,6843,466,1753140,103646,7764974
1989:Q3,RemainingTop1,2996822,649423,485774,163649,2347399,399421,73407,238824,219088,19736,51674,39017,12658,581114,33813,12921,76925,146661,718174,14464,81950,80438,61398,4868,818,13354,1512,2914872,826161,2302167
1989:Q3,Next9,8239317,2427643,2010174,417469,5811673,1128059,146610,398202,358952,39250,127203,45724,81479,807822,105959,158285,290398,1570385,1020405,58346,472424,467683,365639,58952,1269,41824,4740,7766893,8364775,487166
1989:Q3,Next40,8847451,4183345,3428522,754823,4664106,1132436,98690,143811,134175,9635,39243,15375,23867,354717,163490,141960,257853,1621780,600605,109522,1558867,1551550,1153156,355022,1336,42035,7317,7288584,37205581,65851
1989:Q3,Bottom50,1709022,1193869,829235,364634,515153,163048,7391,13098,12498,600,1418,367,1051,23490,43259,14196,40040,128496,40382,40336,996727,994786,616883,344306,748,32849,1940,712295,46519939,
1989:Q4,TopPt1,1849933,351618,153589,198029,1498316,137326,40730,276671,187081,89590,80714,73687,7027,309488,13874,1351,19473,17632,596317,4741,40798,40284,13416,19562,351,6955,514,1809136,102451,
1989:Q4,RemainingTop1,3064691,670417,507178,163239,2394274,398049,76864,244118,221600,22518,56840,42980,13859,593094,33993,13842,79799,156921,726145,14609,88125,86422,65173,5932,786,14531,1703,2976566,829660,
1989:Q4,Next9,8388855,2474844,2059520,415324,5914010,1139941,151956,401571,360088,41483,133848,52235,81614,826944,110844,163743,304408,1589516,1031711,59527,490953,485963,379005,63408,1226,42325,4990,7897902,8388094,
1989:Q4,Next40,9009034,4220482,3447484,772998,4788551,1157903,100250,145276,133690,11586,41534,17302,24232,370257,168705,147943,269814,1673397,601854,111617,1581878,1574414,1170151,361401,1280,41582,7464,7427155,37302012,
1989:Q4,Bottom50,1728735,1202539,826545,375994,526196,166828,7438,13334,12667,667,1566,460,1107,25012,44214,14162,41701,129600,40800,41541,1025789,1023811,632835,358983,748,31245,1978,702946,46640022,
1990:Q1,TopPt1,1833328,349393,162867,186526,1483935,135139,48158,270976,187861,83115,92202,84045,8157,278954,13437,1240,18434,20281,600200,4915,38340,37879,13041,17228,436,7174,461,1794988,101368,
1990:Q1,RemainingTop1,3052878,674249,508915,165334,2378630,390013,82855,246746,223048,23698,60589,45436,15153,557038,33084,14762,79740,166381,732489,14934,92986,91462,68169,6275,971,16046,1524,2959892,833054,
1990:Q1,Next9,8393566,2468898,2040190,428708,5924668,1139062,161387,401096,359270,41825,149966,68069,81896,780464,114044,169097,306593,1601118,1040334,61507,513507,508575,401192,61371,1518,44494,4932,7880059,8411167,
1990:Q1,Next40,9104375,4244243,3446893,797350,4860132,1168192,103608,144769,132556,12213,46682,22012,24670,365108,172562,153914,267846,1719683,602138,115629,1596045,1588615,1197230,347624,1576,42185,7430,7508330,37398240,
1990:Q1,Bottom50,1774536,1243185,854119,389065,531352,168064,7651,13475,12808,667,1805,631,1174,24459,44867,14128,41587,130479,41232,43605,1049509,1047559,655766,359822,957,31014,1949,725028,46759940,
1990:Q2,TopPt1,1876584,363046,174321,188725,1513538,133540,44290,279086,198023,81063,94012,84751,9261,295056,13236,864,17547,22875,608144,4888,36355,35911,12673,15551,359,7328,444,1840229,100394,
1990:Q2,RemainingTop1,3111075,692115,527516,164599,2418960,382287,80118,258296,231678,26618,66715,50312,16402,570906,32529,15988,80441,176244,740507,14929,97240,95763,70650,6980,779,17354,1477,3013835,836349,
1990:Q2,Next9,8512307,2505228,2079927,425300,6007079,1139018,156675,415368,371452,43916,150264,68554,81709,802576,117832,183590,312016,1615634,1052064,62041,536382,531398,421539,63049,1229,45582,4983,7975926,8434014,
1990:Q2,Next40,9236717,4280737,3466602,814135,4955980,1179627,100599,149790,135539,14250,46978,22020,24958,382192,176899,162577,269549,1768407,603193,116169,1615477,1608017,1219084,345575,1261,42096,7461,7621240,37494322,
1990:Q2,Bottom50,1774046,1236423,836795,399628,537623,169489,7272,13883,13151,731,1920,696,1224,26136,45625,14149,41943,131448,41640,44119,1072158,1070213,671971,367557,808,29877,1944,701889,46879757,
1990:Q3,TopPt1,1817912,358970,186662,172308,1458942,133503,50636,288218,212261,75957,97014,86609,10405,211394,12834,965,16246,25494,617680,4957,34066,33642,12148,13981,158,7354,424,1783847,99526,
1990:Q3,RemainingTop1,3053633,698303,531474,166830,2355330,375972,85338,271620,243024,28596,72854,55137,17718,473026,31592,16688,78687,185539,748940,15073,101843,100433,74011,7847,330,18245,1410,2951790,839548,
1990:Q3,Next9,8434213,2506496,2068294,438202,5927717,1141961,164840,433397,388469,44928,152708,71151,81557,671622,121048,182036,307535,1624627,1064697,63246,552662,547643,436855,65772,529,44486,5019,7881551,8456659,
1990:Q3,Next40,9319221,4326155,3494908,831247,4993066,1194804,103342,155372,139869,15503,47915,22638,25278,348843,180776,166572,259453,1813326,604344,118319,1632072,1624590,1236975,346472,534,40608,7482,7687149,37590314,
1990:Q3,Bottom50,1827913,1288955,881387,407568,538957,171537,7425,14305,13549,756,2065,786,1280,22817,46280,14075,40809,132253,42038,45354,1094712,1092776,687276,378230,366,26904,1936,733201,46999539,
1990:Q4,TopPt1,1903435,358615,196756,161859,1544820,137315,52578,304877,221347,83530,104265,92714,11551,261568,12484,869,15805,28082,621956,5022,31933,31480,11411,12314,178,7577,454,1871502,98758,
1990:Q4,RemainingTop1,3144838,700323,532383,167940,2444515,373667,87101,287304,250168,37136,77037,58008,19029,524685,30703,17617,81893,195125,754180,15203,109080,107545,78683,8734,363,19766,1535,3035757,842656,
1990:Q4,Next9,8581370,2494897,2049538,445360,6086472,1152958,167413,449253,397718,51535,163759,82618,81141,746040,124368,187326,323476,1635591,1071892,64395,566554,561338,446032,68124,587,46596,5216,8014816,8479123,
1990:Q4,Next40,9443222,4305460,3457663,847797,5137762,1219855,103569,163955,141653,22302,51395,25876,25520,384299,184742,172584,273314,1859985,603728,120336,1646042,1638444,1250728,345968,586,41162,7598,7797181,37686274,
1990:Q4,Bottom50,1877950,1326143,910056,416087,551807,175235,7344,14855,13831,1024,2279,952,1327,26270,46953,14042,42708,133119,42472,46532,1121194,1119232,702958,389251,423,26600,1962,756756,47119350,
1991:Q1,TopPt1,1987118,368645,207247,161398,1618473,136990,65604,292615,211061,81554,106163,93539,12624,336373,12162,917,15619,30665,616356,5009,29330,28903,10719,10120,313,7751,426,1957788,98089,
1991:Q1,RemainingTop1,3252156,709150,541756,167394,2543006,366521,97607,284987,242914,42073,83848,63639,20209,601457,29823,18379,86726,204732,753730,15196,115214,113778,83046,8981,627,21123,1436,3136942,845678,
1991:Q1,Next9,8739487,2504571,2059797,444774,6234916,1154717,183971,435441,380946,54495,163888,83901,79987,854887,127731,187651,346230,1646207,1069242,64951,574919,569693,455672,65173,1018,47831,5226,8164568,8501430,
1991:Q1,Next40,9575580,4299153,3432520,866633,5276427,1233904,109862,161673,135583,26090,51526,26023,25503,430602,188749,177141,295281,1906667,600095,120927,1642856,1635252,1263557,329534,1007,41154,7603,7932725,37782258,
1991:Q1,Bottom50,1898113,1333669,906083,427586,564444,177088,7825,14927,13777,1150,2391,1050,1341,30946,47633,13983,45617,133976,42984,47074,1133363,1131415,716698,388399,763,25555,1947,764750,47239255,
1991:Q2,TopPt1,1981299,371940,218693,153247,1609360,128824,59984,299800,220889,78911,105671,91882,13789,332423,12101,870,14837,33230,616603,5016,27249,26859,10392,8447,97,7923,390,1954050,97514,
1991:Q2,RemainingTop1,3267624,719733,552026,167706,2547892,350248,93386,297794,250371,47424,92944,71413,21530,591156,29371,19256,88021,214622,755882,15211,119304,118003,85782,9572,184,22465,1301,3148320,848617,
1991:Q2,Next9,8755527,2514664,2067157,447506,6240864,1138833,176980,448052,390577,57474,158814,79636,79179,844678,131792,191348,354642,1658789,1071318,65615,595590,590384,475441,65679,305,48959,5206,8159937,8523600,
1991:Q2,Next40,9665583,4326022,3445590,880432,5339561,1226727,105911,167678,137431,30247,50114,24481,25633,438396,193326,182713,300139,1955064,597713,121780,1658147,1650555,1285439,323747,295,41073,7592,8007436,37878323,
1991:Q2,Bottom50,1921290,1354151,919344,434806,567140,175387,7354,15365,14079,1286,2492,1116,1376,31696,48439,13944,46370,134895,43462,47734,1154035,1152109,733596,393861,243,24410,1926,767255,47359319,
1991:Q3,TopPt1,2008615,366238,230575,135663,1642376,125042,59096,297305,230071,67235,108849,93970,14879,371201,11565,859,14407,35809,613216,5027,25840,25485,10117,7002,82,8284,355,1982774,97029,
1991:Q3,RemainingTop1,3320520,723546,553901,169645,2596973,338578,92816,304233,257056,47177,99758,77046,22712,626615,28043,20094,91509,224473,755629,15226,122544,121379,86677,10130,148,24424,1165,3197975,851478,
1991:Q3,Next9,8837114,2508457,2048450,460006,6328657,1132132,175825,455276,398729,56546,161549,83894,77655,897231,134506,193842,372175,1670536,1069300,66286,617312,612126,491724,66864,249,53288,5187,8219802,8545657,
1991:Q3,Next40,9812565,4371270,3474951,896318,5441295,1230769,104478,168087,138732,29355,50945,25438,25507,466603,196816,187939,315867,2003121,594023,122646,1665143,1657564,1294104,320170,237,43053,7580,8147422,37974525,
1991:Q3,Bottom50,1979384,1404354,962512,441842,575029,175561,7117,15563,14357,1206,2635,1259,1376,34595,49003,13900,48482,135790,43980,48403,1158292,1156387,731880,398335,209,25964,1905,821091,47479607,
1991:Q4,TopPt1,2117215,370852,243997,126855,1746363,125123,60102,293111,233534,59576,115529,99753,15777,478219,11301,827,14101,38394,604567,5089,24669,24339,9887,5629,160,8664,330,2092546,96631,
1991:Q4,RemainingTop1,3449183,732684,562879,169806,2716499,331028,93720,309162,259418,49744,102817,79255,23562,733953,27166,20959,95831,234435,752108,15319,127353,126289,88599,10973,279,26438,1063,3321830,854267,
1991:Q4,Next9,9048217,2519991,2057604,462387,6528225,1133704,177035,456661,399151,57509,172864,98066,74798,1047908,137955,197115,393250,1682787,1061640,67306,645244,640049,511978,69716,476,57879,5195,8402973,8567622,
1991:Q4,Next40,9983268,4391116,3481427,909689,5592152,1244962,104066,168706,137740,30966,54170,29290,24880,525266,200907,193417,335877,2051816,588613,124351,1688093,1680509,1313649,321207,445,45209,7584,8295175,38070921,
